Soil_Type,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Clay,Cotton,Harvest,Kharif,Canal,Wheat,South,6.07,34.98,0.32,1.87,61,44,84,19.84,83.31,1693.22,297.15,1.19,MOP
Silt,Maize,Vegetative,Kharif,Sprinkler,Potato,Central,6.39,47.34,0.28,0.21,59,56,18,24.4,46.27,1030.21,77.17,4.4,Urea
Sandy,Cotton,Flowering,Kharif,Rainfed,Tomato,South,7.92,38.13,0.99,1.88,43,21,119,24.82,71.86,1166.16,128.93,7.21,Urea
Clay,Wheat,Flowering,Zaid,Sprinkler,Potato,West,5.86,14.17,1.46,0.36,88,46,34,27.87,53.23,2881.83,233.96,1.85,MOP
Clay,Potato,Sowing,Kharif,Rainfed,Maize,East,7.98,19.28,0.85,2.16,104,53,98,24.17,51.87,714.84,214.39,7.36,Zinc Sulphate
Silt,Rice,Harvest,Zaid,Sprinkler,Tomato,North,4.85,20.97,0.27,1.23,48,31,87,29.46,52.03,2682.91,70.22,7.65,Urea
Sandy,Maize,Sowing,Zaid,Canal,Potato,North,7.61,22.89,0.49,2.53,56,20,40,36.52,68.36,2263.05,64.7,5.64,Urea
Sandy,Wheat,Harvest,Rabi,Sprinkler,Sugarcane,East,7.89,38.27,0.52,2.83,39,64,22,21.94,62.28,1917.67,153.69,1.44,Urea
Clay,Cotton,Vegetative,Zaid,Drip,Tomato,West,5.23,35.2,0.64,1.31,23,19,74,36.3,75.3,1947.46,174.2,3.35,Urea
Loamy,Rice,Harvest,Rabi,Sprinkler,Tomato,West,6.22,20.16,0.26,1.44,158,51,39,16.59,39.18,1384.23,193.07,7.04,MOP
Clay,Maize,Harvest,Kharif,Rainfed,Cotton,North,5.16,13.38,1.38,1.81,105,89,82,13.64,55.53,1428.78,209.64,6.04,Compost
Clay,Potato,Vegetative,Rabi,Rainfed,Tomato,West,7.33,18.57,0.87,0.67,71,85,113,17.18,81.62,2429.03,170.47,4.44,NPK
Clay,Wheat,Harvest,Zaid,Rainfed,Tomato,North,6.64,59.22,1.07,2.79,62,64,38,16.2,30.19,2470.42,229.51,2.13,MOP
Clay,Cotton,Vegetative,Rabi,Sprinkler,Wheat,North,7.04,33.43,0.29,1.36,141,59,104,39.55,67.41,1799.24,79.29,4.39,NPK
Silt,Maize,Vegetative,Kharif,Rainfed,Cotton,South,5.29,53.37,0.27,0.58,151,41,27,21.43,77.14,2352.06,235.47,1.65,MOP
Sandy,Wheat,Harvest,Rabi,Sprinkler,Tomato,North,5.35,52.44,0.96,2.31,96,77,12,29.54,53.03,2468.15,204.81,5.31,MOP
Silt,Rice,Sowing,Kharif,Rainfed,Cotton,North,4.67,35.58,1.35,0.74,102,27,44,30.88,83.02,1129.91,52.32,6.45,DAP
Silt,Rice,Sowing,Zaid,Drip,Wheat,East,5.79,45.33,0.89,0.52,88,74,75,23.36,74.14,1945.4,167.9,5.4,NPK
Silt,Potato,Harvest,Kharif,Rainfed,Cotton,Central,6.74,19.64,1.34,1.73,33,34,13,16.71,66.36,1420.22,137.89,1.1,Urea
Clay,Potato,Harvest,Rabi,Canal,Sugarcane,South,7.93,44.42,1.25,2.05,89,40,50,23.14,41.9,474.7,113.38,5.69,Zinc Sulphate
Loamy,Wheat,Flowering,Rabi,Canal,Wheat,West,7.17,23.62,0.3,1.75,24,28,88,24.21,70.21,2015.7,63.78,4.4,Urea
Sandy,Rice,Harvest,Rabi,Sprinkler,Cotton,West,6.24,51.6,0.46,2.0,21,27,90,38.62,80.03,1844.96,294.33,4.01,Urea
Loamy,Rice,Sowing,Zaid,Canal,Rice,West,8.31,14.19,1.06,0.44,25,77,99,27.06,73.79,487.27,119.94,2.98,Urea
Silt,Wheat,Sowing,Rabi,Sprinkler,Tomato,South,7.38,48.66,0.78,1.48,53,42,104,39.1,64.49,398.28,164.55,1.81,Urea
Silt,Cotton,Flowering,Zaid,Rainfed,Rice,South,8.22,15.0,0.58,1.14,41,79,39,27.3,72.87,898.98,73.55,4.92,Urea
Loamy,Sugarcane,Flowering,Zaid,Drip,Rice,Central,6.61,54.06,0.74,2.92,151,16,96,14.35,88.61,2533.56,249.22,6.83,DAP
Loamy,Maize,Flowering,Rabi,Drip,Sugarcane,East,5.54,25.21,0.78,0.24,132,10,103,21.53,30.65,378.3,55.93,7.9,DAP
Loamy,Rice,Flowering,Zaid,Drip,Potato,Central,4.71,42.72,1.38,0.97,153,89,20,33.77,69.84,1489.03,197.5,5.44,MOP
Silt,Cotton,Sowing,Kharif,Canal,Sugarcane,East,7.4,34.38,0.33,2.83,86,68,42,22.65,77.58,701.3,119.15,3.18,Zinc Sulphate
Silt,Cotton,Flowering,Kharif,Canal,Tomato,East,4.99,28.32,0.56,2.95,96,43,47,12.99,68.33,909.95,136.34,3.9,Compost
Sandy,Potato,Flowering,Zaid,Rainfed,Cotton,Central,5.71,42.27,0.9,2.49,109,61,119,12.88,46.39,2355.79,181.24,6.07,Urea
Sandy,Sugarcane,Flowering,Kharif,Canal,Cotton,East,6.63,57.38,1.11,0.32,135,20,14,17.11,79.37,2581.69,167.22,4.34,DAP
Silt,Tomato,Harvest,Kharif,Canal,Maize,East,6.76,12.06,1.02,1.73,106,17,68,26.94,84.8,1824.81,152.71,4.66,DAP
Loamy,Wheat,Harvest,Kharif,Sprinkler,Potato,East,6.9,55.94,1.42,1.26,87,62,108,34.9,71.01,2617.08,206.61,1.98,DAP
Loamy,Rice,Sowing,Rabi,Sprinkler,Tomato,West,5.17,40.45,1.23,2.44,120,24,60,26.01,60.66,2599.24,187.1,4.76,DAP
Sandy,Maize,Flowering,Kharif,Canal,Cotton,South,6.02,50.37,0.92,0.26,76,37,74,32.38,51.98,820.25,132.77,7.8,DAP
Silt,Rice,Vegetative,Kharif,Sprinkler,Wheat,East,6.97,29.19,0.48,0.67,153,23,77,29.37,49.8,2006.05,97.14,3.35,DAP
Sandy,Maize,Flowering,Kharif,Drip,Wheat,East,8.38,33.59,0.79,1.52,90,67,67,25.72,73.39,2379.32,89.01,2.18,Zinc Sulphate
Sandy,Maize,Sowing,Kharif,Rainfed,Sugarcane,North,7.41,53.44,1.1,0.56,122,66,57,16.44,66.43,1770.95,59.17,4.32,DAP
Clay,Sugarcane,Flowering,Kharif,Sprinkler,Sugarcane,South,8.19,30.74,1.29,2.11,152,61,67,36.5,39.41,2456.18,161.26,4.63,Zinc Sulphate
Clay,Potato,Flowering,Zaid,Rainfed,Sugarcane,South,7.55,36.73,1.45,2.48,79,46,111,18.27,38.47,1960.73,93.69,7.98,Compost
Clay,Maize,Flowering,Zaid,Drip,Tomato,Central,6.87,11.01,0.99,2.14,128,11,46,17.58,34.27,996.48,270.55,2.5,DAP
Loamy,Wheat,Flowering,Rabi,Canal,Tomato,East,5.27,17.93,0.88,1.38,120,43,16,17.73,71.01,2119.67,155.63,4.8,MOP
Silt,Maize,Sowing,Kharif,Drip,Sugarcane,South,7.17,42.08,0.22,2.65,28,43,69,12.87,48.86,1846.4,206.63,3.61,Urea
Silt,Cotton,Harvest,Rabi,Rainfed,Potato,North,6.99,45.85,0.29,0.5,151,67,68,24.96,31.21,1949.86,127.94,6.23,NPK
Silt,Tomato,Harvest,Kharif,Canal,Rice,South,6.91,39.13,0.4,0.85,93,82,19,19.83,50.26,466.9,114.83,7.09,MOP
Silt,Cotton,Harvest,Kharif,Sprinkler,Rice,East,6.46,17.17,0.27,1.52,115,70,42,25.66,79.93,552.06,254.06,6.32,Compost
Clay,Tomato,Sowing,Rabi,Drip,Tomato,Central,6.61,32.27,0.72,0.28,148,63,60,23.59,44.86,2481.03,142.33,2.33,Zinc Sulphate
Loamy,Potato,Flowering,Kharif,Rainfed,Cotton,Central,5.84,27.75,0.64,0.38,106,76,87,25.59,68.01,1407.56,73.84,5.56,Urea
Loamy,Rice,Harvest,Rabi,Rainfed,Rice,West,6.58,34.78,1.03,1.25,134,39,45,18.93,56.38,802.78,130.87,2.62,DAP
Clay,Maize,Flowering,Rabi,Drip,Potato,Central,5.29,53.52,0.9,2.84,135,89,47,34.45,62.93,459.49,79.75,7.89,Compost
Loamy,Sugarcane,Sowing,Kharif,Canal,Maize,North,7.72,48.79,0.97,2.73,147,68,64,26.03,65.75,936.13,165.82,4.92,MOP
